Action Description,Expected
"Build and install the app pointing at the staging server (search feature flag on). Go to **Add Project**. Type a public project name and wait for the results list. Verify each public hit renders its own logo, and confirm in the network inspector that no per-hit logo URL request is fired.",Each public project hit shows its logo (not the generic placeholder). No extra network request per result; logo appears synchronously with the list.
Go to **Add Project** and search for a private project. Verify the locked placeholder is displayed for the private hit.,"Private hits show `ec5-locked.png`. No network call for a private logo, no broken image."
Point the app at a staging server with the search feature flag disabled. Search for a public project. Verify the project appears with its logo.,"Public project still appears with its logo, constructed client-side from the slug (legacy behavior preserved)."
"With the feature flag on, search for a public project whose payload contains `logo_base64: null` (or empty string). Verify the generic placeholder is rendered for that hit.","Public hit shows the generic placeholder (`ec5-placeholder-100x100.jpg`), not a broken-image icon."
"From **Add Project**, tap a previously displayed public project. Wait for the project to load. Verify the project opens with the correct logo and entries load normally.",The selected project opens and the logo download on the project detail/entries view works as before (this path was intentionally left unchanged).
"On the web admin, edit a form's group and add a new question into that group. Sync/download that form's project on the app (so an older entry now has a group input without an answer). Open the old entry in Entry View. Verify the entry renders, the new group question is skipped, and there is no crash.",Entry view renders without error; the new group question is skipped (not rendered as blank/broken). No Rollbar error (Cannot read properties of undefined).
Create/obtain an entry containing a group, where a question was added into that group after the entry was collected. Open the entry (including via branch view if the group is nested in a branch). Verify it renders without error.,The entry/branch view renders; the group question without an answer is skipped cleanly. No Rollbar error.
Open **Entries Upload** with unsynced entries. Tap **Upload Data** and immediately tap it again (or trigger from a second UI path). Verify the button is disabled during the run and only one upload executes.,The second upload is ignored — the Upload Data button is disabled while uploading. Only one upload runs at a time; no duplicate or corrupt uploads.
"With photos, audio, and video present, start **Upload Photos**. Immediately try **Upload Audio** and **Upload Data**. Verify the buttons are disabled while photos are uploading, and enabled again when finished.",The other upload buttons are disabled until the current upload finishes; no concurrent upload sessions.
Queue media files for upload. Remove the pending files (or simulate the queue being consumed) during the run. Verify the upload finishes without an unhandled error and the error list (if any) is shown.,"Upload completes gracefully; any already-collected errors are returned; no crash, no white screen."
"Enable airplane mode (or point the app at an unreachable server). From **Add Project**, tap a project to add it. Verify the timeout/network error appears and the app returns to the search list.","Progress dialog is dismissed, a network/timeout error is shown, and the user is returned to the Add Project flow without a crash or a stuck spinner."
Use a staging project with an empty form (zero inputs). Add it from the search. Verify the ec5_133 alert appears and the app returns to the Add Project list.,"The app shows the ec5_133 alert (""no inputs""), does not add the project, and returns to the flow without a stuck progress dialog."
Log out (or use an expired JWT). Attempt to add a project that triggers an auth error. Verify the error is displayed and the app returns to a stable screen.,The appropriate error is shown and the user is returned to the project list; no unhandled promise rejection or indefinite progress spinner.
"Run `npm run rollbar` in a release-configured environment. Verify the native production build completes first, then the Rollbar source-map upload runs.",Release build completes; `npm run rollbar` has the prerollbar prerequisite wired (no functional UI change).
"On the web admin, add a new question to an existing group in a project. On the app, open the project (do not re-select it from the project list, so the local structure remains outdated). Navigate to **Entries Download** and tap to download entries for the form containing the group. Verify the ""Update form on your device?"" dialog appears. Confirm the update. Verify the ""Wait…"" progress dialog appears while the project updates. Verify the download proceeds and the newly-added group question appears in the downloaded entries.","A confirmation dialog appears: ""Update form on your device?"" with the message ""Form has been updated."" If the user confirms, a ""Wait…"" progress dialog appears while the project updates. After the update completes, the download proceeds. All group questions (including newly-added ones) appear in the downloaded entries."
"Ensure the project is up to date (re-select it from the project list if needed). Navigate to **Entries Download** and tap to download entries. Verify no update dialog appears and the download starts immediately. Verify the download button is disabled while downloading.","No update dialog appears; the download starts directly. Download buttons are disabled while the download is in progress."
"On a device with an outdated project structure, navigate to **Entries Download**. Tap to download entries. When the ""Update form on your device?"" dialog appears, tap **No** / dismiss the dialog. Verify the download does not start and the user remains on the Entries Download page. Verify the download button is re-enabled.",The download does not start. The user stays on the Entries Download page with no error. The download button is re-enabled.
"Download entries for a form that already has remote entries on the device. Verify the previous remote entries are replaced with the newly-downloaded entries. Verify no duplicate entries appear in the entries list.",The previous remote entries are removed and replaced with the newly-downloaded entries. No duplicate entries appear.
"Start a download, then restart it to trigger the warning dialog. Verify the warning message text matches the expected replacement wording. Verify the ""Learn more"" button is present and opens the documentation page. Verify the dialog remains open after tapping ""Learn more"".","The warning dialog shows three buttons: ""Learn more"" (left), ""Cancel"" (center), and ""OK"" (right). The warning message reads: ""This will replace any matching entries currently stored on this device for this project with their remote version. Continue?"" (or equivalent in the current language). Tapping ""Learn more"" opens `https://docs.epicollect.net/mobile-application/download-entries` and the dialog remains open."
"Download entries from a project to the device. Verify the entries appear as synced. Trigger an unsync on the entries. Verify the remote entries still show as synced. Navigate to **Entries Upload**. Verify the upload button is disabled and the unsynced count shows 0 entries.",Remote entries remain synced after unsync. Upload button stays disabled when only remote entries exist.
"If possible, unsync a remote entry via the entries list. Navigate to **Entries Upload**. If the upload button is enabled (locally-created entries exist), tap to upload. Verify the upload completes without errors and the remote entry was not sent to the server.",Upload completes without errors. Remote entries are skipped entirely (no POST request made). Progress bar reflects only locally-created entries.
